q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00011_00_00001_av_ave.h5_00001_[NS11_25C]_trm=0.873101	error
1.96173042e-01	3.54371488e-01	2.68298713e-03
1.96634099e-01	3.54443163e-01	2.67878873e-03
1.97095156e-01	3.55097771e-01	2.67797429e-03
1.97556213e-01	3.52548778e-01	2.67020939e-03
1.98017254e-01	3.45818609e-01	2.64926534e-03
1.98478311e-01	3.43900740e-01	2.64316006e-03
1.98939368e-01	3.44646037e-01	2.64169881e-03
1.99400425e-01	3.44764501e-01	2.63681146e-03
1.99861482e-01	3.45521271e-01	2.63861381e-03
2.00322539e-01	3.42761934e-01	2.62786727e-03
2.00783581e-01	3.40575457e-01	2.61930679e-03
2.01244637e-01	3.39606464e-01	2.61277286e-03
2.01705694e-01	3.38483632e-01	2.60666851e-03
2.02166751e-01	3.37644517e-01	2.60289712e-03
2.02627808e-01	3.39427978e-01	2.60510156e-03
2.03088865e-01	3.34301859e-01	2.59036804e-03
2.03549922e-01	3.28672260e-01	2.57336721e-03
2.04010963e-01	3.33800822e-01	2.58325390e-03
2.04472020e-01	3.35787445e-01	2.58533703e-03
2.04933077e-01	3.33414733e-01	2.57565500e-03
2.05394134e-01	3.31438839e-01	2.56678252e-03
2.05855191e-01	3.33134413e-01	2.57173250e-03
2.06316248e-01	3.29981685e-01	2.55562598e-03
2.06777290e-01	3.32925797e-01	2.56440882e-03
2.07238346e-01	3.30243915e-01	2.56956858e-03
2.07699403e-01	3.31363380e-01	2.59059621e-03
2.08160460e-01	3.28240722e-01	2.59078899e-03
2.08621517e-01	3.25075626e-01	2.59228027e-03
2.09082574e-01	3.24464113e-01	2.59530218e-03
2.09543616e-01	3.28695625e-01	2.61021219e-03
2.10004672e-01	3.25656980e-01	2.60616001e-03
2.10465729e-01	3.24527323e-01	2.60807015e-03
2.10926786e-01	3.24209541e-01	2.60796910e-03
2.11387843e-01	3.21102321e-01	2.60282727e-03
2.11848900e-01	3.21225822e-01	2.60894001e-03
2.12309942e-01	3.22154522e-01	2.61307624e-03
2.12770998e-01	3.22842658e-01	2.61610351e-03
2.13232055e-01	3.19003850e-01	2.60663941e-03
2.13693112e-01	3.18661988e-01	2.60607526e-03
2.14154169e-01	3.19832057e-01	2.60710623e-03
2.14615226e-01	3.20845783e-01	2.61113071e-03
2.15076268e-01	3.19587767e-01	2.60789739e-03
2.15537325e-01	3.20254326e-01	2.61191139e-03
2.15998381e-01	3.14104944e-01	2.59418180e-03
2.16459438e-01	3.15742761e-01	2.60299584e-03
2.16920495e-01	3.10657650e-01	2.58888118e-03
2.17381552e-01	3.10569555e-01	2.59214221e-03
2.17842609e-01	3.09622228e-01	2.58759526e-03
2.18303651e-01	3.09909284e-01	2.59047002e-03
2.18764707e-01	3.09923828e-01	2.59017339e-03
2.19225764e-01	3.09219033e-01	2.58909957e-03
2.19686821e-01	3.10835719e-01	2.59658438e-03
2.20147878e-01	3.04504514e-01	2.57749646e-03
2.20608935e-01	3.02078664e-01	2.57245614e-03
2.21069977e-01	3.03580016e-01	2.57842941e-03
2.21531034e-01	2.98625469e-01	2.56340811e-03
2.21992090e-01	3.01581115e-01	2.57312763e-03
2.22453147e-01	2.98585504e-01	2.56399834e-03
2.22914204e-01	2.93858111e-01	2.55222968e-03
2.23375261e-01	2.96357930e-01	2.56170100e-03
2.23836303e-01	2.96874464e-01	2.56190961e-03
2.24297360e-01	2.92256624e-01	2.54769018e-03
2.24758416e-01	2.93050647e-01	2.54442403e-03
2.25219473e-01	2.94335604e-01	2.52626254e-03
2.25680530e-01	2.93168902e-01	2.51017674e-03
2.26141587e-01	2.91743577e-01	2.49423622e-03
2.26602629e-01	2.92301327e-01	2.48942222e-03
2.27063686e-01	2.88128346e-01	2.47325120e-03
2.27524742e-01	2.86893606e-01	2.46288837e-03
2.27985799e-01	2.85675228e-01	2.45145010e-03
2.28446856e-01	2.83327490e-01	2.44187517e-03
2.28907913e-01	2.81704843e-01	2.43472657e-03
2.29368955e-01	2.80363888e-01	2.42359471e-03
2.29830012e-01	2.80652344e-01	2.42049317e-03
2.30291069e-01	2.78635442e-01	2.41127913e-03
2.30752125e-01	2.78247029e-01	2.40412774e-03
2.31213182e-01	2.79866308e-01	2.40873662e-03
2.31674239e-01	2.74688512e-01	2.39186035e-03
2.32135296e-01	2.72127539e-01	2.38219788e-03
2.32596338e-01	2.69345820e-01	2.37056799e-03
2.33057395e-01	2.71965086e-01	2.37503415e-03
2.33518451e-01	2.71249831e-01	2.36905599e-03
2.33979508e-01	2.68384308e-01	2.35694880e-03
2.34440565e-01	2.65203118e-01	2.34248769e-03
2.34901622e-01	2.64989138e-01	2.34089699e-03
2.35362664e-01	2.63909191e-01	2.33404944e-03
2.35823721e-01	2.61748552e-01	2.32465658e-03
2.36284778e-01	2.59109586e-01	2.31382553e-03
2.36745834e-01	2.60605663e-01	2.31548119e-03
2.37206891e-01	2.59163946e-01	2.30701407e-03
2.37667948e-01	2.59885967e-01	2.30447319e-03
